State,Date,Daily_New_Cases,Curve_Day,Pop_Pct,Pop_Pct_M1,Pop_Pct_M2,Pop_Pct_M3,Pop_Pct_M4,Pop_Pct_M5,Pop_Pct_M6,Pop_Pct_M7,Three_Day_Avg_Pop_Pct,Seven_Day_Avg_Pop_Pct,Pct_Change,Pct_Change_M1,Pct_Change_M2,Pct_Change_M3,Pct_Change_M4,Pct_Change_M5,Pct_Change_M6,Pct_Change_M7,Three_Day_Avg_Pct_Chg,Seven_Day_Avg_Pct_Chg
TX,6/19/2020,4497,1,0.0001504,0.00011,0.00012,0.00015,0.00007,0.00004,0.00008,0.00007,0.0001267,0.0001028,0.00003813,-0.0000052,-0.0000302,0.0000761,0.0000267,-0.0000309,0.0000026,0.0000054,0.00000094,0.00001105
TX,6/20/2020,4250,2,0.0001421,0.0001504,0.00011,0.00012,0.00015,0.00007,0.00004,0.00008,0.0001349,0.0001123,-0.00000826,0.00003813,-0.0000052,-0.0000302,0.0000761,0.0000267,-0.0000309,0.0000026,0.00000824,0.0000095
TX,6/21/2020,3125,3,0.0001045,0.0001421,0.0001504,0.00011,0.00012,0.00015,0.00007,0.00004,0.0001324,0.0001208,-0.00003763,-0.00000826,0.00003813,-0.0000052,-0.0000302,0.0000761,0.0000267,-0.0000309,-0.00000259,0.00000853
TX,6/22/2020,5112,4,0.000171,0.0001045,0.0001421,0.0001504,0.00011,0.00012,0.00015,0.00007,0.0001392,0.000135,0.00006645,-0.00003763,-0.00000826,0.00003813,-0.0000052,-0.0000302,0.0000761,0.0000267,0.00000686,0.00001421
TX,6/23/2020,5370,5,0.0001796,0.000171,0.0001045,0.0001421,0.0001504,0.00011,0.00012,0.00015,0.0001517,0.0001396,0.00000863,0.00006645,-0.00003763,-0.00000826,0.00003813,-0.0000052,-0.0000302,0.0000761,0.00001249,0.00000457
TX,6/24/2020,6177,6,0.0002066,0.0001796,0.000171,0.0001045,0.0001421,0.0001504,0.00011,0.00012,0.0001857,0.0001524,0.00002699,0.00000863,0.00006645,-0.00003763,-0.00000826,0.00003813,-0.0000052,-0.0000302,0.00003402,0.00001274
TX,6/25/2020,5960,7,0.0001993,0.0002066,0.0001796,0.000171,0.0001045,0.0001421,0.0001504,0.00011,0.0001952,0.0001648,-0.00000726,0.00002699,0.00000863,0.00006645,-0.00003763,-0.00000826,0.00003813,-0.0000052,0.00000945,0.00001244
TX,6/26/2020,5614,8,0.0001878,0.0001993,0.0002066,0.0001796,0.000171,0.0001045,0.0001421,0.0001504,0.0001979,0.0001701,-0.00001157,-0.00000726,0.00002699,0.00000863,0.00006645,-0.00003763,-0.00000826,0.00003813,0.00000272,0.00000534
TX,6/27/2020,6079,9,0.0002033,0.0001878,0.0001993,0.0002066,0.0001796,0.000171,0.0001045,0.0001421,0.0001968,0.0001789,0.00001555,-0.00001157,-0.00000726,0.00002699,0.00000863,0.00006645,-0.00003763,-0.00000826,-0.00000109,0.00000874
TX,6/28/2020,4330,10,0.0001448,0.0002033,0.0001878,0.0001993,0.0002066,0.0001796,0.000171,0.0001045,0.0001786,0.0001846,-0.00005849,0.00001555,-0.00001157,-0.00000726,0.00002699,0.00000863,0.00006645,-0.00003763,-0.00001817,0.00000576
TX,6/29/2020,6135,11,0.0002052,0.0001448,0.0002033,0.0001878,0.0001993,0.0002066,0.0001796,0.000171,0.0001844,0.0001895,0.00006037,-0.00005849,0.00001555,-0.00001157,-0.00000726,0.00002699,0.00000863,0.00006645,0.00000581,0.00000489
TX,6/30/2020,7959,12,0.0002662,0.0002052,0.0001448,0.0002033,0.0001878,0.0001993,0.0002066,0.0001796,0.0002054,0.0002019,0.000061,0.00006037,-0.00005849,0.00001555,-0.00001157,-0.00000726,0.00002699,0.00000863,0.00002096,0.00001237
TX,7/1/2020,8240,13,0.0002756,0.0002662,0.0002052,0.0001448,0.0002033,0.0001878,0.0001993,0.0002066,0.000249,0.0002117,0.0000094,0.000061,0.00006037,-0.00005849,0.00001555,-0.00001157,-0.00000726,0.00002699,0.00004359,0.00000986
TX,7/2/2020,7535,14,0.000252,0.0002756,0.0002662,0.0002052,0.0001448,0.0002033,0.0001878,0.0001993,0.0002646,0.0002193,-0.00002358,0.0000094,0.000061,0.00006037,-0.00005849,0.00001555,-0.00001157,-0.00000726,0.00001561,0.00000753
TX,7/3/2020,7343,15,0.0002456,0.000252,0.0002756,0.0002662,0.0002052,0.0001448,0.0002033,0.0001878,0.0002577,0.0002275,-0.00000642,-0.00002358,0.0000094,0.000061,0.00006037,-0.00005849,0.00001555,-0.00001157,-0.00000687,0.00000826
TX,7/4/2020,5382,16,0.00018,0.0002456,0.000252,0.0002756,0.0002662,0.0002052,0.0001448,0.0002033,0.0002259,0.0002242,-0.00006559,-0.00000642,-0.00002358,0.0000094,0.000061,0.00006037,-0.00005849,0.00001555,-0.00003186,-0.00000333
TX,7/5/2020,5183,17,0.0001733,0.00018,0.0002456,0.000252,0.0002756,0.0002662,0.0002052,0.0001448,0.0001996,0.0002283,-0.00000666,-0.00006559,-0.00000642,-0.00002358,0.0000094,0.000061,0.00006037,-0.00005849,-0.00002622,0.00000408
TX,7/6/2020,9054,18,0.0003028,0.0001733,0.00018,0.0002456,0.000252,0.0002756,0.0002662,0.0002052,0.0002187,0.0002422,0.00012946,-0.00000666,-0.00006559,-0.00000642,-0.00002358,0.0000094,0.000061,0.00006037,0.00001907,0.00001395
TX,7/7/2020,9828,19,0.000328696,,,,,,,,,,,,,,,,,,,
TX,7/8/2020,10649,20,0.000356154,,,,,,,,,,,,,,,,,,,
TX,7/9/2020,11901,21,0.000398027,,,,,,,,,,,,,,,,,,,
TX,7/10/2020,10554,22,0.000352977,,,,,,,,,,,,,,,,,,,
TX,7/11/2020,8674,23,0.0002901,,,,,,,,,,,,,,,,,,,
TX,7/12/2020,6363,24,0.000212809,,,,,,,,,,,,,,,,,,,
TX,7/13/2020,9457,25,0.000316288,,,,,,,,,,,,,,,,,,,
TX,7/14/2020,11514,26,0.000385084,,,,,,,,,,,,,,,,,,,
TX,7/15/2020,12490,27,0.000417726,,,,,,,,,,,,,,,,,,,
TX,7/16/2020,10243,28,0.000342575,,,,,,,,,,,,,,,,,,,
TX,7/17/2020,9496,29,0.000317592,,,,,,,,,,,,,,,,,,,
TX,7/18/2020,7945,30,0.000265719,,,,,,,,,,,,,,,,,,,
TX,7/19/2020,8709,31,0.000291271,,,,,,,,,,,,,,,,,,,
TX,7/20/2020,7925,32,0.00026505,,,,,,,,,,,,,,,,,,,
TX,7/21/2020,10331,33,0.000345518,,,,,,,,,,,,,,,,,,,
TX,7/22/2020,10528,34,0.000352107,,,,,,,,,,,,,,,,,,,
TX,7/23/2020,9402,35,0.000314448,,,,,,,,,,,,,,,,,,,
TX,7/24/2020,8552,36,0.00028602,,,,,,,,,,,,,,,,,,,
TX,7/25/2020,7735,37,0.000258696,,,,,,,,,,,,,,,,,,,
TX,7/26/2020,4309,38,0.000144114,,,,,,,,,,,,,,,,,,,
TX,7/27/2020,6187,39,0.000206923,,,,,,,,,,,,,,,,,,,
TX,7/28/2020,11037,40,0.00036913,,,,,,,,,,,,,,,,,,,
TX,7/29/2020,9217,41,0.000308261,,,,,,,,,,,,,,,,,,,
TX,7/30/2020,8843,42,0.000295753,,,,,,,,,,,,,,,,,,,
TX,7/31/2020,9750,43,0.000326087,,,,,,,,,,,,,,,,,,,
TX,8/1/2020,6720,44,0.000224749,,,,,,,,,,,,,,,,,,,
TX,8/2/2020,5142,45,0.000171973,,,,,,,,,,,,,,,,,,,
TX,8/3/2020,6997,46,0.000234013,,,,,,,,,,,,,,,,,,,
TX,8/4/2020,11210,47,0.000374916,,,,,,,,,,,,,,,,,,,
TX,8/5/2020,9625,48,0.000321906,,,,,,,,,,,,,,,,,,,
TX,8/6/2020,7630,49,0.000255184,,,,,,,,,,,,,,,,,,,
